quoteid,quote_no,stage,created_at,trip,country,pax,owner
2355840,TDU26949G,Rejected,2026-03-20 11:17:57,2026-04-20,New Zealand,225,
2356186,TDU27037G,Auto Rejected,2026-04-13 19:32:14,2026-06-04,Australia,460,
2356224,TDU27050G,Auto Rejected,2026-04-16 15:49:20,2026-06-04,Australia,500,
2356228,TDU27051G,Rejected,2026-04-16 20:21:56,2026-06-04,Australia,220,
2356464,TDU27106G,Auto Rejected,2026-05-04 21:14:28,2026-07-25,Australia,450,ArunP
2356475,TDU27108G,Auto Rejected,2026-05-05 15:44:17,2026-06-25,New Zealand,223,
2356484,TDU27111G,Rejected,2026-05-06 10:58:40,2026-07-16,New Zealand,223,ArunP
2356485,TDU27112G,Auto Rejected,2026-05-06 11:03:29,2026-06-25,New Zealand,223,
2356486,TDU27113G,Rejected,2026-05-06 12:31:06,2026-08-05,Australia,400,ArunP
2356488,TDU27115G,Auto Rejected,2026-05-06 13:28:03,2026-07-01,Australia,500,ArunP
2356672,TDU27153G,Auto Rejected,2026-05-21 17:44:33,2026-06-25,New Zealand,223,
2356686,TDU27156G,Rejected,2026-05-22 19:12:31,2026-07-16,Australia,240,ArunP
2356697,TDU27160G,Auto Rejected,2026-05-23 17:08:16,2026-07-23,Australia,260,ArunP
2356701,TDU27164G,Rejected,2026-05-23 19:35:19,2026-10-28,Australia,300,ArunP
2356736,TDU27176G,Created,2026-05-28 15:50:40,2026-12-02,Australia,260,karthik
2356800,TDU27192G,Created,2026-06-02 22:58:21,2027-01-10,New Zealand,400,ArunP
2356840,TDU27210G,Rejected,2026-06-05 13:24:22,2026-08-18,Australia,280,ArunP
2356967,TDU27236G,Rejected,2026-06-16 14:41:30,2026-10-06,Australia,300,ArunP
2356969,TDU27238G,Created,2026-06-16 15:34:27,2026-10-06,Australia,300,ArunP
2357074,TDU27272G,Rejected,2026-06-22 18:47:55,2026-10-06,Australia,310,ArunP
2357084,TDU27274G,Rejected,2026-06-22 22:16:20,2026-09-02,New Zealand,229,ArunP
2357102,TDU27283G,Rejected,2026-06-23 16:57:31,2026-11-20,Australia,400,ArunP
2357228,TDU27316G,Created,2026-07-03 17:20:09,2026-09-03,New Zealand,229,ArunP
2357285,TDU27331G,Rejected,2026-07-09 11:30:01,2026-10-06,Australia,300,ArunP
2357311,TDU27342G,Rejected,2026-07-10 13:34:00,2026-09-03,Australia,250,ArunP
2357318,TDU27345G,Rejected,2026-07-11 15:55:13,2026-12-02,Australia,300,ArunP
2357442,TDU27366G,Created,2026-07-20 11:37:48,2026-11-18,Australia,240,ArunP
2357446,TDU27368G,Created,2026-07-20 15:39:53,2026-11-18,Australia,240,ArunP
2357448,TDU27369G,Created,2026-07-20 15:47:39,2026-11-18,Australia,240,karthik
2357483,TDU27378G,Rejected,2026-07-22 19:58:39,2027-02-22,New Zealand,400,ArunP
2357507,TDU27382G,Created,2026-07-23 23:55:29,2027-02-22,New Zealand,450,ArunP
2357640,TDU27422G,Created,2026-08-01 17:18:37,2027-02-10,New Zealand,250,ArunP
2357809,TDU27471G,Created,2026-08-10 14:07:31,2027-01-17,Australia,300,ArunP
2357830,TDU27476G,Rejected,2026-08-11 14:40:42,2027-01-17,Australia,300,ArunP
