"auto_id","quoteid","source","invoice_id","trams_remarks","total_amount","trams_received_amount","reference_no","balance_amount","payment_method","process_date","modified_date","modified_by","pay_type","added_on","added_by","cleared_date","cleared_by","is_reconciliated"
"14","2347213",,NULL,"04/10/2024	JET CHOICE TOUR AND TRAVELS PVT LTD	24610		TDU22070",,"24610","TDU22070",NULL,"12","2024-10-04 00:00:00",NULL,,"BANK TRANSFER","2024-11-12 10:16:16"," Mathew",NULL,NULL,NULL
"18","2228623","initial",NULL,NULL,"25108",NULL,NULL,NULL,,NULL,NULL,,,"2024-11-25 21:14:23","Hemant Dongrani",NULL,NULL,NULL
"19","2347122","initial",NULL,NULL,"91251",NULL,NULL,NULL,,NULL,NULL,,,"2024-12-02 22:20:08","Rakesh Mulchandani",NULL,NULL,NULL
"20","2347451","initial",NULL,NULL,"98466",NULL,NULL,NULL,,NULL,NULL,,,"2024-12-03 01:11:56","Rakesh Mulchandani",NULL,NULL,NULL
"24","2347122",,NULL,,,"69926","TDU20279",NULL,"12","2024-11-22 00:00:00",NULL,,"BANK TRANSFER","2024-12-03 09:44:28","Job Mathew",NULL,NULL,NULL
"25","2347451",,NULL,,,"75514","TDU23505",NULL,"12","2024-11-25 00:00:00",NULL,,"BANK TRANSFER","2024-12-03 11:06:10","Job Mathew",NULL,NULL,NULL
"26","2347157","initial",NULL,NULL,"18681",NULL,NULL,NULL,,NULL,NULL,,,"2024-12-13 15:29:51","Job Mathew",NULL,NULL,NULL
"27","2347157",,NULL,"23/11/2024	COMMONWEALTH TRAVEL SERVICE CORPORA	9143",,"9143","TDU22685",NULL,"12","2024-11-23 00:00:00",NULL,,"BANK TRANSFER","2024-12-13 15:32:04","Job Mathew",NULL,NULL,NULL
"28","2347157",,NULL,,,"9372","TDU22685",NULL,"12","2024-12-12 00:00:00",NULL,,"BANK TRANSFER","2024-12-13 15:32:32","Job Mathew",NULL,NULL,NULL
"30","2259779",,NULL,,,"69100","TDU23077",NULL,"12","2024-11-27 00:00:00",NULL,,"BANK TRANSFER","2024-12-13 17:49:19","Job Mathew",NULL,NULL,NULL
"33","40","initial",NULL,NULL,"43441",NULL,NULL,NULL,,NULL,NULL,,,"2024-12-23 09:56:01","Job Mathew",NULL,NULL,NULL
"34","40",,NULL,"21/11/2024	PAPH TRAVEL AND TOURS	16201		TDU19615",,"16201","TDU19615",NULL,"12","2024-11-21 00:00:00",NULL,,"BANK TRANSFER","2024-12-23 09:57:01","Job Mathew",NULL,NULL,NULL
"35","40",,NULL,"23/12/2024	PAPH TRAVEL AND TOURS	21123		TDU19615",,"21123","TDU19615",NULL,"12","2024-12-23 00:00:00",NULL,,"BANK TRANSFER","2024-12-23 15:44:03","Job Mathew",NULL,NULL,NULL
"37","40","final",NULL,NULL,"43411",NULL,NULL,NULL,,NULL,NULL,,,"2024-12-23 18:24:40","Prasanta Dawn",NULL,NULL,NULL
"38","2347898","initial",NULL,NULL,"2094",NULL,NULL,NULL,,NULL,NULL,,,"2024-12-23 21:19:41","Karthik Suriyan",NULL,NULL,NULL
"42","2228623","initial",NULL,NULL,"30556",NULL,NULL,NULL,,NULL,NULL,,,"2024-12-26 21:04:44","Karthik Suriyan",NULL,NULL,NULL
"43","2228623","initial",NULL,NULL,"30556",NULL,NULL,NULL,,NULL,NULL,,,"2024-12-26 21:04:48","Karthik Suriyan",NULL,NULL,NULL
"45","2228623",,NULL,"Fast Transfer From SHINE CLEANING AND GA",,"8000","tdu22708",NULL,"12","2024-12-14 00:00:00",NULL,,"Bank transfer ","2024-12-26 21:10:06","Arya Prajapati",NULL,NULL,NULL
"46","2228623",,NULL,"Fast Transfer From METRO SUPPLIER PTY LT",,"9545","TDU22708",NULL,"12","2024-12-14 00:00:00",NULL,,"Bank transfer ","2024-12-26 21:10:57","Arya Prajapati",NULL,NULL,NULL
"47","2228623",,NULL,"AVILA TOURS AND TRAVELS PRIVATE LIM",,"6891","TDU22708",NULL,"12","2024-12-14 00:00:00",NULL,,"Bank transfer ","2024-12-26 21:11:46","Arya Prajapati",NULL,NULL,NULL
"48","2228623",,NULL,"VIRA & CO PTY LTD",,"6120","TDU22708",NULL,"12","2024-12-18 00:00:00",NULL,,"Bank transfer ","2024-12-26 21:21:51","Arya Prajapati",NULL,NULL,NULL
"50","2228623","final",NULL,NULL,"30526",NULL,NULL,NULL,,NULL,NULL,,,"2024-12-26 21:24:29","Karthik Suriyan",NULL,NULL,NULL
"53","2347763",,NULL,"AVILA TOURS AND TRAVELS PRIVATE LIM",,"36008.56","TDU25107G",NULL,"12","2024-12-11 00:00:00",NULL,,"Bank transfer ","2024-12-27 14:43:33","Arya Prajapati",NULL,NULL,NULL
"54","2347763",,NULL,"AVILA TOURS AND TRAVELS PRIVATE LIM",,"20676.5","TDU25107G",NULL,"12","2024-12-27 00:00:00",NULL,,"Bank transfer ","2024-12-27 14:44:32","Arya Prajapati",NULL,NULL,NULL
"56","2347788","initial",NULL,NULL,"4962.12",NULL,NULL,NULL,,NULL,NULL,,,"2024-12-30 18:16:43","Arun Karotiya",NULL,NULL,NULL
"57","2347788",,NULL,"NA",,"4962.12","TDU25116G",NULL,"12","2024-12-31 00:00:00",NULL,,"Bank transfer ","2024-12-31 15:57:40","Arya Prajapati",NULL,NULL,NULL
"58","2347788","final",NULL,NULL,"4932.12",NULL,NULL,NULL,,NULL,NULL,,,"2024-12-31 15:59:25","Rakesh Mulchandani",NULL,NULL,NULL
"59","2347788",,NULL,,,"1",,NULL,"12","2024-12-31 00:00:00",NULL,,"Bank Transfer","2024-12-31 16:10:27","Abhishek Sonthalia",NULL,NULL,NULL
"66","2347638","initial",NULL,NULL,"3715",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-07 11:46:16","Maharshi Mankodi",NULL,NULL,NULL
"68","2347064",,NULL,"03/01/2025	1/RAGHUVEER R PATLOLLA	17,501.20",,"17501.2","TDU21779",NULL,"12","2025-01-09 00:00:00",NULL,,"BANK TRANSFER","2025-01-09 10:26:41","Job Mathew",NULL,NULL,NULL
"69","2347637",,NULL,"09/01/2025	1/MERCHANTRADE ASIA SDN. BHD.	7121",,"7121","TDU25053G",NULL,"12","2025-01-09 00:00:00",NULL,,"BANK TRANSFER","2025-01-09 14:01:47","Job Mathew",NULL,NULL,NULL
"71","2347638",,NULL,"10 Jan 2025 Merchantrade Asia Sd$3,715.00",,"3715","TDU25054G",NULL,"12","2025-01-10 00:00:00",NULL,,"BANK TRANSFER","2025-01-10 10:39:24","Job Mathew",NULL,NULL,NULL
"72","2348193","initial",NULL,NULL,"9583",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-12 05:32:45","Pankaj Bisht",NULL,NULL,NULL
"73","2347649",,NULL,"03/01/2025	SANJAY+HEMA SHAH 2011 TR	15168.45		TDU21042/ TDU25057G",,"15168.45","TDU21042/ TDU25057G",NULL,"12","2025-01-03 00:00:00",NULL,,"BANK TRANSFER","2025-01-13 10:39:48","Job Mathew",NULL,NULL,NULL
"74","40",,NULL,"30/12/2024	PAPH TRAVEL AND TOURS	6104		TDU19615 ",,"6104","TDU19615 ",NULL,"12","2024-12-30 00:00:00",NULL,,"BANK TRANSFER","2025-01-13 10:50:01","Job Mathew",NULL,NULL,NULL
"75","18",,NULL,"02/10/2024	FLYREMIT PRIVATE LIMITED	41884		TDU15168",,"41884","TDU15168",NULL,"12","2024-10-02 00:00:00",NULL,,"BANK TRANSFER","2025-01-13 10:52:09","Job Mathew",NULL,NULL,NULL
"76","23",,NULL,"06/10/2024	PARTHKUMAR PATEL Work payment	20000	TDU17642	",,"20000","TDU17642",NULL,"12","2024-10-06 00:00:00",NULL,,"BANK TRANSFER","2025-01-13 10:55:22","Job Mathew",NULL,NULL,NULL
"78","23",,NULL,"31/10/2024	PRAHAAN HOLIDAYS	45011		TDU17642",,"45011","TDU17642",NULL,"12","2024-10-31 00:00:00",NULL,,"BANK TRANSFER","2025-01-13 10:56:42","Job Mathew",NULL,NULL,NULL
"79","23",,NULL,"14/11/2024	FLYREMIT PRIVATE LIMITED TO	30000		TDU17642",,"30000","TDU17642",NULL,"12","2024-11-14 00:00:00",NULL,,"BANK TRANSFER","2025-01-13 10:57:38","Job Mathew",NULL,NULL,NULL
"80","2275421",,NULL,"28/10/2024	INFINITY TOURS	65011		TDU23342 ",,"65011","TDU23342 ",NULL,"12","2024-10-28 00:00:00",NULL,,"BANK TRANSFER","2025-01-13 11:03:07","Job Mathew",NULL,NULL,NULL
"81","2348193",,NULL,"BFN received from SOTC",,"9583.00","CFT 2500079",NULL,"12","2025-01-08 00:00:00",NULL,,"BFN","2025-01-13 17:14:31","Arya Prajapati",NULL,NULL,NULL
"82","2347649",,NULL,,,"8880","TDU25057G/TDU21042",NULL,"12","2024-12-18 00:00:00",NULL,,"BANK TRANSFER","2025-01-14 12:29:02","Job Mathew",NULL,NULL,NULL
"84","2347649",,NULL,,,"5455","TDU25057G/TDU21042",NULL,"12","2024-12-17 00:00:00",NULL,,"BANK TRANSFER","2025-01-14 12:29:53","Job Mathew",NULL,NULL,NULL
"91","2347643","initial",NULL,NULL,"93625",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-16 01:20:29","Arun Karotiya",NULL,NULL,NULL
"92","2347064",,NULL,"30/12/2024	Rajput,Hu&Sh	3000		TDU24727G/TDU21779",,"3000","TDU24727G/TDU21779",NULL,"12","2024-12-30 00:00:00",NULL,,"BANK TRANSFER","2025-01-16 18:08:31","Job Mathew",NULL,NULL,NULL
"93","2347064",,NULL,"10/01/2025	R R Patlolla, V K R	1000		TDU24727G/TDU21779",,"1000","TDU24727G/TDU21779",NULL,"12","2025-01-10 00:00:00",NULL,,"BANK TRANSFER","2025-01-16 18:09:36","Job Mathew",NULL,NULL,NULL
"95","2347064",,NULL,"13/01/2025	Patel,Jayeshk	10000		TDU24727G/TDU21779",,"10000","TDU24727G/TDU21779",NULL,"12","2025-01-10 00:00:00",NULL,,"BANK TRANSFER","2025-01-16 18:10:47","Job Mathew",NULL,NULL,NULL
"97","2348223","initial",NULL,NULL,"2738.84",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-18 19:42:29","Nishant Dhaybar",NULL,NULL,NULL
"98","2348223","final",NULL,NULL,"2708.84",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-18 19:43:03","Nishant Dhaybar",NULL,NULL,NULL
"99","2348223",,NULL,"TRAIL BLAZER TOURS INDIA PVT LTD    2740",,"2740","TDU30265",NULL,"12","2025-01-14 00:00:00",NULL,,"Bank transfer ","2025-01-18 19:46:35","Nishant Dhaybar",NULL,NULL,NULL
"102","2347378","initial",NULL,NULL,"79840",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-21 02:16:31","Dhiraj Salvi",NULL,NULL,NULL
"108","2348413","initial",NULL,NULL,"2416",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-22 17:34:14","Job Mathew",NULL,NULL,NULL
"109","2347064",,NULL,"R R Patlolla, V K R",,"16023","TDU24727G/TDU21779",NULL,"12","2025-01-13 00:00:00",NULL,,"Bank transfer ","2025-01-22 18:52:13","Arya Prajapati",NULL,NULL,NULL
"110","2347064","initial",NULL,NULL,"47554",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-22 18:52:50","Arya Prajapati",NULL,NULL,NULL
"120","2311427",,NULL,"1/RAGHUVEER R PATLOLLA",,"17410.3","TDU24060G",NULL,"12","2024-12-27 00:00:00",NULL,,"Bank transfer ","2025-01-22 21:34:53","Arya Prajapati",NULL,NULL,NULL
"121","2311427",,NULL,"1/RAGHUVEER R PATLOLLA",,"6511.68","TDU24060G",NULL,"12","2024-12-30 00:00:00",NULL,,"Bank transfer ","2025-01-22 21:36:04","Arya Prajapati",NULL,NULL,NULL
"123","2311427",,NULL,"R R Patlolla, V K R",,"1095","TDU24060G",NULL,"12","2025-01-13 00:00:00",NULL,,"Bank transfer ","2025-01-22 21:37:45","Arya Prajapati",NULL,NULL,NULL
"124","2311427",,NULL,"1/RAJESHWARI MALLAGARI",,"17477.63","TDU24060G",NULL,"12","2025-01-17 00:00:00",NULL,,"Bank transfer ","2025-01-22 21:41:27","Arya Prajapati",NULL,NULL,NULL
"125","2311427",,NULL,"Mr H B Abdullah And",,"20000","TDU24060G",NULL,"12","2025-01-21 00:00:00",NULL,,"Bank transfer ","2025-01-22 21:43:48","Arya Prajapati",NULL,NULL,NULL
"126","2311427",,NULL,"Abdullah H B",,"5000","TDU24060G",NULL,"12","2025-01-21 00:00:00",NULL,,"Bank transfer ","2025-01-22 21:44:45","Arya Prajapati",NULL,NULL,NULL
"127","2311427",,NULL,"1/RAJESHWARI MALLAGARI",,"16273","TDU24060G",NULL,"12","2025-01-22 00:00:00",NULL,,"Bank transfer ","2025-01-22 21:50:03","Arya Prajapati",NULL,NULL,NULL
"129","2348408",,NULL,"Fast Transfer From travel star pte",,"1694","TDU26705 ",NULL,"12","2025-01-23 00:00:00",NULL,,"Bank transfer ","2025-01-23 18:13:00","Arya Prajapati",NULL,NULL,NULL
"130","2348408","initial",NULL,NULL,"1716",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-23 18:13:12","Arya Prajapati",NULL,NULL,NULL
"137","2348545",,NULL,"TDU30458",,"2120","TDU30458",NULL,"12","2025-01-23 00:00:00",NULL,,"FLYWIRE ","2025-01-24 14:05:08","Job Mathew",NULL,NULL,NULL
"138","2348545","final",NULL,NULL,"2120",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-24 14:06:49","Lee N",NULL,NULL,NULL
"139","2348545","initial",NULL,NULL,"2150",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-24 14:21:49","Lee N",NULL,NULL,NULL
"140","2347643",,NULL,"SOMANS LEISURE TOURS INDIA PRIVATE",,"40000","TDU25055G",NULL,"12","2025-01-23 00:00:00",NULL,,"Bank transfer ","2025-01-24 15:46:00","Arya Prajapati",NULL,NULL,NULL
"141","2348185",,NULL,"22/01/2025	EXPRESS HOLIDAYS	9976		TDU25198G",,"9976","TDU25198G",NULL,"12","2025-01-22 00:00:00",NULL,,"BANK TRANSFER","2025-01-24 16:01:10","Job Mathew",NULL,NULL,NULL
"143","2348185",,NULL,"24/01/2025	EXPRESS HOLIDAYS		15976	TDU25198G",,"15976","TDU25198G",NULL,"12","2025-01-24 00:00:00",NULL,,"BANK TRANSFER","2025-01-24 16:02:29","Job Mathew",NULL,NULL,NULL
"144","2347645",,NULL,"20/01/2025	SOMAN S LEISURE TOURS INDIA 
37669	TDU23528/TDU25056G",,"37669","TDU23528/TDU25056G",NULL,"12","2025-01-20 00:00:00",NULL,,"BANK TRANSFER","2025-01-24 17:03:53","Job Mathew",NULL,NULL,NULL
"145","2348388",,NULL,"RISING STAR TOURS AND TRAVELS",,"2510","TDU26318",NULL,"12","2025-01-16 00:00:00",NULL,,"Bank transfer ","2025-01-24 23:23:36","Arya Prajapati",NULL,NULL,NULL
"146","2348463",,NULL,"TRAVEL STAR PTE LTD",,"2914.44","TDU30412",NULL,"12","2025-01-27 00:00:00",NULL,,"Bank transfer ","2025-01-27 16:11:40","Arya Prajapati",NULL,NULL,NULL
"147","2348459",,NULL,"MORNING STAR TRAVELS PRIVATE LIMITE
",,"6750","TDU30409",NULL,"12","2025-01-23 00:00:00",NULL,,"Bank transfer ","2025-01-27 18:11:51","Arya Prajapati",NULL,NULL,NULL
"150","2347098","initial",NULL,NULL,"114270",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-28 10:36:03","Job Mathew",NULL,NULL,NULL
"151","2347098",,NULL,"23/01/2025	Mr H B Abdullah And	20000",,"20000","TDU24749G",NULL,"12","2025-01-23 00:00:00",NULL,,"BANK TRANSFER","2025-01-28 10:36:55","Job Mathew",NULL,NULL,NULL
"152","2348459","final",NULL,NULL,"7634",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-28 11:35:09","Job Mathew",NULL,NULL,NULL
"153","2348185",,NULL,"28/01/2025    EXPRESS HOLIDAYS        19976    TDU25198G
",,"19976","TDU25198G",NULL,"12","2025-01-28 00:00:00",NULL,,"BANK TRANSFER","2025-01-28 17:51:40","Job Mathew",NULL,NULL,NULL
"155","2347898",,NULL,,,"2080","TDU25172G",NULL,"12","2024-12-31 00:00:00",NULL,,"BANK TRANSFER","2025-01-29 10:51:02","Job Mathew",NULL,NULL,NULL
"156","2347432",,NULL,"28/01/2025	TRILOCHAN TRAVEL AND TOURISM W L L		30538.46	TDU24943G / TDU24729",,"30538.46","TDU24943G / TDU24729",NULL,"12","2025-01-28 00:00:00",NULL,,"BANK TRANSFER","2025-01-29 11:04:28","Job Mathew",NULL,NULL,NULL
"157","2348185",,NULL,,,"14976","TDU25198g",NULL,"12","2025-01-29 00:00:00",NULL,,"BANK TRANSFER","2025-01-29 15:21:44","Job Mathew",NULL,NULL,NULL
"158","2311427","initial",NULL,NULL,"125544",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-29 23:51:01","Arun Karotiya",NULL,NULL,NULL
"159","2348459",,NULL,"XTT247320992
",,"150","TDU30409",NULL,"12","2025-01-28 00:00:00",NULL,,"Credit card","2025-01-30 00:15:25","Arya Prajapati",NULL,NULL,NULL
"161","2348459","initial",NULL,NULL,"6781",NULL,NULL,NULL,,NULL,NULL,,,"2025-01-31 10:20:26","Lee N",NULL,NULL,NULL
"164","2311427",,NULL,"KISHORE PULAGAM",,"15595.67","TDU24060G",NULL,"12","2025-01-31 00:00:00",NULL,,"Bank transfer ","2025-01-31 17:31:18","Arya Prajapati",NULL,NULL,NULL
"165","2311427",,NULL,"1/NIKHILA VUMMENTHALA",,"16569.1","TDU24060G",NULL,"12","2025-01-31 00:00:00",NULL,,"Bank transfer ","2025-01-31 17:32:11","Arya Prajapati",NULL,NULL,NULL
"166","2347469",,NULL,"53 TAKEOFFS PRIVATE LIMITED",,"8535","TDU24967",NULL,"12","2025-02-03 00:00:00",NULL,,"Bank transfer ","2025-02-03 18:28:53","Arya Prajapati",NULL,NULL,NULL
"167","2348406",,NULL,"SOTC",,"3918","TDU30372",NULL,"12","2025-02-03 00:00:00",NULL,,"BFN","2025-02-03 18:32:59","Arya Prajapati",NULL,NULL,NULL
"168","2348406","initial",NULL,NULL,"3948",NULL,NULL,NULL,,NULL,NULL,,,"2025-02-03 18:33:13","Arya Prajapati",NULL,NULL,NULL
"169","2349450","initial",NULL,NULL,"948",NULL,NULL,NULL,,NULL,NULL,,,"2025-02-03 21:39:29","Priyanka Pandav",NULL,NULL,NULL
"170","2347645",,NULL,"SOMANS LEISURE TOURS INDIA PRIVATE",,"20000","TDU25056G",NULL,"12","2025-02-03 00:00:00",NULL,,"Bank transfer ","2025-02-03 22:17:56","Arya Prajapati",NULL,NULL,NULL
"172","2347643",,NULL,"SOMANS LEISURE TOURS INDIA PRIVATE
",,"35000","TDU25055G",NULL,"12","2025-02-03 00:00:00",NULL,,"Bank transfer ","2025-02-03 22:22:09","Arya Prajapati",NULL,NULL,NULL
"173","2347432",,NULL,"Fast Transfer From Inv 2673",,"16513","TDU24943G",NULL,"12","2025-01-30 00:00:00",NULL,,"Bank transfer ","2025-02-03 22:24:07","Arya Prajapati",NULL,NULL,NULL
"174","2348463","initial",NULL,NULL,"2948",NULL,NULL,NULL,,NULL,NULL,,,"2025-02-04 12:32:55","Maharshi Mankodi",NULL,NULL,NULL
"175","2348463",,NULL,,,"3.56",,NULL,"12","2025-02-04 00:00:00",NULL,,"BANK CHARGES","2025-02-04 12:35:54","Job Mathew",NULL,NULL,NULL
"176","2347432","initial",NULL,NULL,"50094",NULL,NULL,NULL,,NULL,NULL,,,"2025-02-04 12:36:50","Job Mathew",NULL,NULL,NULL
"177","2348251",,NULL,"Fast Transfer From NAVINKUMAR PATEL",,"4915","TDU30279",NULL,"12","2025-02-02 00:00:00",NULL,,"Bank transfer ","2025-02-04 16:08:46","Arya Prajapati",NULL,NULL,NULL
"178","2348251","initial",NULL,NULL,"4946",NULL,NULL,NULL,,NULL,NULL,,,"2025-02-04 16:09:05","Arya Prajapati",NULL,NULL,NULL
"179","2348251",,NULL,"bank charges",,"1","TDU30279",NULL,"12","2025-02-02 00:00:00",NULL,,"Bank transfer ","2025-02-04 16:12:24","Arya Prajapati",NULL,NULL,NULL
"181","2348349","initial",NULL,NULL,"1042",NULL,NULL,NULL,,NULL,NULL,,,"2025-02-04 18:12:13","Maharshi Mankodi",NULL,NULL,NULL
"182","2186233",,NULL,"05/02/2025	PARICHAY TOUR HOLIDAYS		5000	TDU22242G",,"5000","TDU22242G",NULL,"12","2025-02-05 00:00:00",NULL,,"BANK TRANSFER","2025-02-06 10:35:56","Job Mathew",NULL,NULL,NULL
"184","2348452","initial",NULL,NULL,"3486",NULL,NULL,NULL,,NULL,NULL,,,"2025-02-09 11:56:32","Maharshi Mankodi",NULL,NULL,NULL
"185","2349450",,NULL,,,"955","TDU25314G",NULL,"12","2025-02-07 00:00:00",NULL,,"BANK TRANSFER","2025-02-10 10:51:32","Job Mathew",NULL,NULL,NULL
"186","2348185",,NULL,,,"3755","TDU25198G",NULL,"12","2025-02-07 00:00:00",NULL,,"BANK TRANSFER","2025-02-10 10:52:38","Job Mathew",NULL,NULL,NULL
"187","2347098",,NULL,,,"17252.15","TDU24749G",NULL,"12","2025-02-10 00:00:00",NULL,,"BANK TRANSFER","2025-02-10 14:11:12","Job Mathew",NULL,NULL,NULL
"188","2347378",,NULL,,,"40000","TDU24192g",NULL,"12","2025-01-28 00:00:00",NULL,,"BANK TRANSFER","2025-02-10 15:26:20","Job Mathew",NULL,NULL,NULL
"189","2347378",,NULL,,,"23952","TDU24192g",NULL,"12","2025-02-07 00:00:00",NULL,,"BANK TRANSFER","2025-02-10 15:26:50","Job Mathew",NULL,NULL,NULL
"190","2348452",,NULL,,,"5002","TDU25247G",NULL,"12","2025-02-10 00:00:00",NULL,,"BANK TRANSFER","2025-02-11 12:32:32","Job Mathew",NULL,NULL,NULL
"191","2349400",,NULL,"XTT2025-02-11",,"2348","TDU30548",NULL,"12","2025-02-07 00:00:00",NULL,,"Credit card","2025-02-12 16:13:13","Arya Prajapati",NULL,NULL,NULL
"192","2347331",,NULL,,,"12179","TDU24882G",NULL,"12","2025-02-03 00:00:00",NULL,,"BANK TRANSFER","2025-02-12 17:13:27","Job Mathew",NULL,NULL,NULL
"193","2349548",,NULL,"Thomas Cook(BFN)",,"6140","TDU30643",NULL,"12","2025-02-12 00:00:00",NULL,,"BFN","2025-02-12 21:37:04","Arya Prajapati",NULL,NULL,NULL
"194","2349548","initial",NULL,NULL,"6170",NULL,NULL,NULL,,NULL,NULL,,,"2025-02-12 21:37:55","Arya Prajapati",NULL,NULL,NULL
"196","2347098",,NULL,,,"28194.03","TDU24749G",NULL,"12","2025-02-14 00:00:00",NULL,,"BANK TRANSFER","2025-02-14 13:39:22","Job Mathew",NULL,NULL,NULL
"199","2348226",,NULL,,,"5000","TDU25205G",NULL,"12","2025-02-05 00:00:00",NULL,,"BANK TRANSFER","2025-02-14 13:41:51","Job Mathew",NULL,NULL,NULL
"200","2348226",,NULL,,,"30000","TDU25205G",NULL,"12","2025-02-14 00:00:00",NULL,,"BANK TRANSFER","2025-02-14 13:42:42","Job Mathew",NULL,NULL,NULL
"201","51",,NULL,"BLUE SKY TRAVEL HUB",,"60011.42","TDU00026G/TDU21092",NULL,"12","2025-02-13 00:00:00",NULL,,"Bank transfer ","2025-02-14 14:20:13","Arya Prajapati",NULL,NULL,NULL
"202","2347098",,NULL,"Abdullah H B",,"2300","TDU24749G",NULL,"12","2025-02-04 00:00:00",NULL,,"Bank transfer ","2025-02-14 14:23:05","Arya Prajapati",NULL,NULL,NULL
"204","2349400","initial",NULL,NULL,"2048",NULL,NULL,NULL,,NULL,NULL,,,"2025-02-14 14:58:20","Arya Prajapati",NULL,NULL,NULL
"206","18","final",NULL,NULL,"46052",NULL,NULL,NULL,,NULL,NULL,,,"2025-02-14 15:16:47","Lee N",NULL,NULL,NULL
"208","2347606",,NULL,,,"28930","TDU25204G",NULL,"12","2025-02-14 00:00:00",NULL,,"BANK TRANSFER","2025-02-14 17:31:22","Job Mathew",NULL,NULL,NULL
"209","2348352","initial",NULL,NULL,"7130",NULL,NULL,NULL,,NULL,NULL,,,"2025-02-14 17:59:17","Maharshi Mankodi",NULL,NULL,NULL
"212","2348352","final",NULL,NULL,"6260",NULL,NULL,NULL,,NULL,NULL,,,"2025-02-14 18:31:36","Maharshi Mankodi",NULL,NULL,NULL
"214","2349463","initial",NULL,NULL,"3602",NULL,NULL,NULL,,NULL,NULL,,,"2025-02-15 17:41:30","Job Mathew",NULL,NULL,NULL
"215","2349463",,NULL,"Kunal approval - 15/02/2024",,"3572","TDU30856",NULL,"12","2025-02-15 00:00:00",NULL,,"BANK TRANSFER","2025-02-15 17:42:37","Job Mathew",NULL,NULL,NULL
